;vrms;irms;daya;label
0;"217,9244628";"1,466444286";"332,8041472";rice_cooker
1;"219,9828648";"1,652937614";"333,2254004";strika
2;"204,6948961";"0,416950738";"39,82128689";dispenser
3;"218,4364271";"1,398757913";"334,6580791";strika
4;"200,969665";"0,489341486";"201,1954279";kipas_angin
5;"219,4884124";"0,899560073";"334,9892885";strika
6;"206,0004528";"1,27008752";"40,11526006";dispenser
7;"220,1537873";"1,621086277";"333,2289269";strika
8;"200,2580021";"0,193214671";"200,7240639";kipas_angin
9;"217,1279854";"1,749724513";"333,7205633";rice_cooker
10;"218,6845769";"2,85713667";"333,1141333";strika
11;"200,1685189";"0,522959134";"201,0316359";kipas_angin
12;"214,2110293";"1,711718851";"333,1954094";heater
13;"216,8740791";"1,519060102";"332,0697533";rice_cooker
14;"200,3793411";"0,796864819";"200,1615035";kipas_angin
15;"201,7247881";"0,971857157";"200,7934354";kipas_angin
16;"200,4143107";"0,199958148";"204,518209";kipas_angin
17;"207,2426773";"0,302435877";"40,17611971";dispenser
18;"212,9658289";"0,445867184";"334,4174035";heater
19;"207,3181814";"0,964355424";"40,47602614";dispenser
20;"217,3339024";"0,085447237";"334,1640785";strika
21;"200,0258278";"0,875373605";"200,8066883";kipas_angin
22;"218,7136611";"1,164009801";"333,8889502";rice_cooker
23;"213,5562077";"2,387648525";"334,3456839";heater
24;"213,9568458";"0,638907901";"333,2960832";heater
25;"213,4349214";"1,6054685";"333,7677325";heater
26;"218,2333784";"1,119065387";"332,9960861";strika
27;"213,3953325";"2,149084009";"332,8205813";heater
28;"218,7110374";"1,474670002";"332,8979388";strika
29;"206,315861";"0,027057089";"40,10411041";dispenser
30;"200,4161926";"0,693095729";"201,846692";kipas_angin
31;"199,8938776";"0,585621698";"201,3402711";kipas_angin
32;"214,3847477";"2,79634263";"333,7638026";heater
33;"201,8258448";"0,179851351";"199,1305818";kipas_angin
34;"201,5869927";"0,534649272";"202,9363447";kipas_angin
35;"213,4335932";"1,067442772";"332,534141";heater
36;"213,8223323";"2,040405";"335,7860711";heater
37;"215,9479997";"1,049540953";"333,4565979";rice_cooker
38;"218,4837891";"0,669586632";"336,368346";strika
39;"201,6424965";"0,000275641";"201,5648016";kipas_angin
40;"200,0312995";"0,963276761";"200,300442";kipas_angin
41;"214,7647144";"2,18778972";"333,1534923";heater
42;"213,5450889";"0,146231125";"333,7337298";heater
43;"216,988403";"3,005431668";"334,1373504";rice_cooker
44;"206,210163";"1,118193959";"39,69470429";dispenser
45;"215,7846613";"0,595826344";"332,8204965";rice_cooker
46;"200,3118139";"0,085315886";"201,2431969";kipas_angin
47;"205,6979122";"0,171030913";"42,3583048";dispenser
48;"218,1119838";"3,60729052";"333,8395181";rice_cooker
49;"217,317225";"1,827952282";"333,3411699";rice_cooker
50;"218,3073719";"2,661956225";"335,6353304";strika
51;"199,5271475";"0,525307089";"200,4856268";kipas_angin
52;"200,5792862";"0,373227497";"200,1034939";kipas_angin
53;"219,257404";"3,128494236";"334,4781531";strika
54;"207,6184872";"2,671830072";"41,16977636";dispenser
55;"214,4297562";"2,452348169";"336,835473";heater
56;"213,6074765";"1,846192356";"334,0227711";heater
57;"217,6111645";"0,213504102";"334,3613038";strika
58;"205,9418939";"1,326456287";"42,06808554";dispenser
59;"200,4335642";"0,546375114";"202,433363";kipas_angin
60;"213,316099";"2,797734363";"335,7167226";heater
61;"218,454843";"0,508029727";"334,8962634";rice_cooker
62;"216,4616705";"3,667509196";"332,855044";rice_cooker
63;"200,5161424";"0,168322624";"200,6203733";kipas_angin
64;"213,5934942";"1,371975135";"335,4692224";heater
65;"218,4642512";"3,710923092";"333,5623949";strika
66;"218,0605096";"0,98643898";"332,2819095";strika
67;"219,7216038";"1,066261817";"331,8728905";rice_cooker
68;"207,0878356";"0,343145543";"42,22024197";dispenser
69;"201,2083588";"0,598650026";"201,6722877";kipas_angin
